;Sample_name;Time;Compartment;Water_type;Sample_type;Mesocosm;Group;Sampling_date;NA_concentration;Final_NA_conc
Mesocosm.1.D0.Sed;Mesocosm.1.D0.Sed;D-0;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;14-07-2021;1.1;51.6
Mesocosm.1.D28.Sed;Mesocosm.1.D28.Sed;D28;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;18-08-2021;45.3;51.6
Mesocosm.1.D42.Sed;Mesocosm.1.D42.Sed;D42;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;01-09-2021;64.9;51.6
Mesocosm.1.D8.Sed;Mesocosm.1.D8.Sed;D8;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;29-07-2021;NA;51.6
Mesocosm.1.D84.Sed;Mesocosm.1.D84.Sed;D84;Sediments;OSPW;No_plant;Mesocosm_1;Sediments_No_plant_OSPW;13-10-2021;51.6;51.6
Mesocosm.10.D0.Sed;Mesocosm.10.D0.Sed;D-0;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;14-07-2021;1;65.4
Mesocosm.10.D28.Sed;Mesocosm.10.D28.Sed;D28;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;18-08-2021;70.4;65.4
Mesocosm.10.D42.Sed;Mesocosm.10.D42.Sed;D42;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;01-09-2021;62.1;65.4
Mesocosm.10.D8.Sed;Mesocosm.10.D8.Sed;D8;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;29-07-2021;87.8;65.4
Mesocosm.10.D84.Sed;Mesocosm.10.D84.Sed;D84;Sediments;OSPW;No_plant;Mesocosm_10;Sediments_No_plant_OSPW;13-10-2021;65.4;65.4
Mesocosm.11.D0.Sed;Mesocosm.11.D0.Sed;D-0;Sediments;Artificial_OSPW;No_plant;Mesocosm_11;Sediments_No_plant_Artificial_OSPW;14-07-2021;1.1;0.8
Mesocosm.11.D28.Sed;Mesocosm.11.D28.Sed;D28;Sediments;Artificial_OSPW;No_plant;Mesocosm_11;Sediments_No_plant_Artificial_OSPW;18-08-2021;0.4;0.8
Mesocosm.11.D42.Sed;Mesocosm.11.D42.Sed;D42;Sediments;Artificial_OSPW;No_plant;Mesocosm_11;Sediments_No_plant_Artificial_OSPW;01-09-2021;0.8;0.8
Mesocosm.11.D8.Sed;Mesocosm.11.D8.Sed;D8;Sediments;Artificial_OSPW;No_plant;Mesocosm_11;Sediments_No_plant_Artificial_OSPW;29-07-2021;0.8;0.8
Mesocosm.11.D84.Sed;Mesocosm.11.D84.Sed;D84;Sediments;Artificial_OSPW;No_plant;Mesocosm_11;Sediments_No_plant_Artificial_OSPW;13-10-2021;0.8;0.8
Mesocosm.12.D0.Racine;Mesocosm.12.D0.Racine;D-0;Roots;OSPW;Carex;Mesocosm_12;Roots_Carex_OSPW;14-07-2021;0.7;23.4
Mesocosm.12.D0.Rhizo;Mesocosm.12.D0.Rhizo;D-0;Rhizosphere;OSPW;Carex;Mesocosm_12;Rhizosphere_Carex_OSPW;14-07-2021;0.7;23.4
Mesocosm.12.D0.Sed;Mesocosm.12.D0.Sed;D-0;Sediments;OSPW;Carex;Mesocosm_12;Sediments_Carex_OSPW;14-07-2021;0.7;23.4
Mesocosm.12.D28.Racine;Mesocosm.12.D28.Racine;D28;Roots;OSPW;Carex;Mesocosm_12;Roots_Carex_OSPW;18-08-2021;78.5;23.4
Mesocosm.12.D28.Rhizo;Mesocosm.12.D28.Rhizo;D28;Rhizosphere;OSPW;Carex;Mesocosm_12;Rhizosphere_Carex_OSPW;18-08-2021;78.5;23.4
Mesocosm.12.D28.Sed;Mesocosm.12.D28.Sed;D28;Sediments;OSPW;Carex;Mesocosm_12;Sediments_Carex_OSPW;18-08-2021;78.5;23.4
Mesocosm.12.D42.Racine;Mesocosm.12.D42.Racine;D42;Roots;OSPW;Carex;Mesocosm_12;Roots_Carex_OSPW;01-09-2021;44.1;23.4
Mesocosm.12.D42.Rhizo;Mesocosm.12.D42.Rhizo;D42;Rhizosphere;OSPW;Carex;Mesocosm_12;Rhizosphere_Carex_OSPW;01-09-2021;44.1;23.4
Mesocosm.12.D42.Sed;Mesocosm.12.D42.Sed;D42;Sediments;OSPW;Carex;Mesocosm_12;Sediments_Carex_OSPW;01-09-2021;44.1;23.4
Mesocosm.12.D8.Racine;Mesocosm.12.D8.Racine;D8;Roots;OSPW;Carex;Mesocosm_12;Roots_Carex_OSPW;29-07-2021;79.1;23.4
Mesocosm.12.D8.Rhizo;Mesocosm.12.D8.Rhizo;D8;Rhizosphere;OSPW;Carex;Mesocosm_12;Rhizosphere_Carex_OSPW;29-07-2021;79.1;23.4
Mesocosm.12.D8.Sed;Mesocosm.12.D8.Sed;D8;Sediments;OSPW;Carex;Mesocosm_12;Sediments_Carex_OSPW;29-07-2021;79.1;23.4
Mesocosm.12.D84.Racine;Mesocosm.12.D84.Racine;D84;Roots;OSPW;Carex;Mesocosm_12;Roots_Carex_OSPW;13-10-2021;23.4;23.4
Mesocosm.12.D84.Rhizo;Mesocosm.12.D84.Rhizo;D84;Rhizosphere;OSPW;Carex;Mesocosm_12;Rhizosphere_Carex_OSPW;13-10-2021;23.4;23.4
Mesocosm.12.D84.Sed;Mesocosm.12.D84.Sed;D84;Sediments;OSPW;Carex;Mesocosm_12;Sediments_Carex_OSPW;13-10-2021;23.4;23.4
Mesocosm.2.D0.Racine;Mesocosm.2.D0.Racine;D-0;Roots;OSPW;Carex;Mesocosm_2;Roots_Carex_OSPW;14-07-2021;0.7;21.6
Mesocosm.2.D0.Rhizo;Mesocosm.2.D0.Rhizo;D-0;Rhizosphere;OSPW;Carex;Mesocosm_2;Rhizosphere_Carex_OSPW;14-07-2021;0.7;21.6
Mesocosm.2.D0.Sed;Mesocosm.2.D0.Sed;D-0;Sediments;OSPW;Carex;Mesocosm_2;Sediments_Carex_OSPW;14-07-2021;0.7;21.6
Mesocosm.2.D28.Racine;Mesocosm.2.D28.Racine;D28;Roots;OSPW;Carex;Mesocosm_2;Roots_Carex_OSPW;18-08-2021;59.8;21.6
Mesocosm.2.D28.Rhizo;Mesocosm.2.D28.Rhizo;D28;Rhizosphere;OSPW;Carex;Mesocosm_2;Rhizosphere_Carex_OSPW;18-08-2021;59.8;21.6
Mesocosm.2.D28.Sed;Mesocosm.2.D28.Sed;D28;Sediments;OSPW;Carex;Mesocosm_2;Sediments_Carex_OSPW;18-08-2021;59.8;21.6
Mesocosm.2.D42.Racine;Mesocosm.2.D42.Racine;D42;Roots;OSPW;Carex;Mesocosm_2;Roots_Carex_OSPW;01-09-2021;40.6;21.6
Mesocosm.2.D42.Rhizo;Mesocosm.2.D42.Rhizo;D42;Rhizosphere;OSPW;Carex;Mesocosm_2;Rhizosphere_Carex_OSPW;01-09-2021;40.6;21.6
Mesocosm.2.D42.Sed;Mesocosm.2.D42.Sed;D42;Sediments;OSPW;Carex;Mesocosm_2;Sediments_Carex_OSPW;01-09-2021;40.6;21.6
Mesocosm.2.D8.Racine;Mesocosm.2.D8.Racine;D8;Roots;OSPW;Carex;Mesocosm_2;Roots_Carex_OSPW;29-07-2021;74.8;21.6
Mesocosm.2.D8.Rhizo;Mesocosm.2.D8.Rhizo;D8;Rhizosphere;OSPW;Carex;Mesocosm_2;Rhizosphere_Carex_OSPW;29-07-2021;74.8;21.6
Mesocosm.2.D8.Sed;Mesocosm.2.D8.Sed;D8;Sediments;OSPW;Carex;Mesocosm_2;Sediments_Carex_OSPW;29-07-2021;74.8;21.6
Mesocosm.2.D84.Racine;Mesocosm.2.D84.Racine;D84;Roots;OSPW;Carex;Mesocosm_2;Roots_Carex_OSPW;13-10-2021;21.6;21.6
Mesocosm.2.D84.Rhizo;Mesocosm.2.D84.Rhizo;D84;Rhizosphere;OSPW;Carex;Mesocosm_2;Rhizosphere_Carex_OSPW;13-10-2021;21.6;21.6
Mesocosm.2.D84.Sed;Mesocosm.2.D84.Sed;D84;Sediments;OSPW;Carex;Mesocosm_2;Sediments_Carex_OSPW;13-10-2021;21.6;21.6
Mesocosm.3.D0.Sed;Mesocosm.3.D0.Sed;D-0;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;14-07-2021;1.1;57.4
Mesocosm.3.D28.Sed;Mesocosm.3.D28.Sed;D28;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;18-08-2021;122.8;57.4
Mesocosm.3.D42.Sed;Mesocosm.3.D42.Sed;D42;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;01-09-2021;83.9;57.4
Mesocosm.3.D8.Sed;Mesocosm.3.D8.Sed;D8;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;29-07-2021;75.1;57.4
Mesocosm.3.D84.Sed;Mesocosm.3.D84.Sed;D84;Sediments;OSPW;No_plant;Mesocosm_3;Sediments_No_plant_OSPW;13-10-2021;57.4;57.4
Mesocosm.4.D0.Sed;Mesocosm.4.D0.Sed;D-0;Sediments;Artificial_OSPW;No_plant;Mesocosm_4;Sediments_No_plant_Artificial_OSPW;14-07-2021;1.4;0.3
Mesocosm.4.D28.Sed;Mesocosm.4.D28.Sed;D28;Sediments;Artificial_OSPW;No_plant;Mesocosm_4;Sediments_No_plant_Artificial_OSPW;18-08-2021;0.3;0.3
Mesocosm.4.D42.Sed;Mesocosm.4.D42.Sed;D42;Sediments;Artificial_OSPW;No_plant;Mesocosm_4;Sediments_No_plant_Artificial_OSPW;01-09-2021;0.2;0.3
Mesocosm.4.D8.Sed;Mesocosm.4.D8.Sed;D8;Sediments;Artificial_OSPW;No_plant;Mesocosm_4;Sediments_No_plant_Artificial_OSPW;29-07-2021;0.2;0.3
Mesocosm.4.D84.Sed;Mesocosm.4.D84.Sed;D84;Sediments;Artificial_OSPW;No_plant;Mesocosm_4;Sediments_No_plant_Artificial_OSPW;13-10-2021;0.3;0.3
Mesocosm.5.D0.Sed;Mesocosm.5.D0.Sed;D-0;Sediments;Artificial_OSPW;No_plant;Mesocosm_5;Sediments_No_plant_Artificial_OSPW;14-07-2021;0.9;0.1
Mesocosm.5.D28.Sed;Mesocosm.5.D28.Sed;D28;Sediments;Artificial_OSPW;No_plant;Mesocosm_5;Sediments_No_plant_Artificial_OSPW;18-08-2021;0.4;0.1
Mesocosm.5.D42.Sed;Mesocosm.5.D42.Sed;D42;Sediments;Artificial_OSPW;No_plant;Mesocosm_5;Sediments_No_plant_Artificial_OSPW;01-09-2021;0.5;0.1
Mesocosm.5.D8.Sed;Mesocosm.5.D8.Sed;D8;Sediments;Artificial_OSPW;No_plant;Mesocosm_5;Sediments_No_plant_Artificial_OSPW;29-07-2021;0.5;0.1
Mesocosm.5.D84.Sed;Mesocosm.5.D84.Sed;D84;Sediments;Artificial_OSPW;No_plant;Mesocosm_5;Sediments_No_plant_Artificial_OSPW;13-10-2021;0.1;0.1
Mesocosm.6.D0.Racine;Mesocosm.6.D0.Racine;D-0;Roots;OSPW;Carex;Mesocosm_6;Roots_Carex_OSPW;14-07-2021;1;13.1
Mesocosm.6.D0.Rhizo;Mesocosm.6.D0.Rhizo;D-0;Rhizosphere;OSPW;Carex;Mesocosm_6;Rhizosphere_Carex_OSPW;14-07-2021;1;13.1
Mesocosm.6.D0.Sed;Mesocosm.6.D0.Sed;D-0;Sediments;OSPW;Carex;Mesocosm_6;Sediments_Carex_OSPW;14-07-2021;1;13.1
Mesocosm.6.D28.Racine;Mesocosm.6.D28.Racine;D28;Roots;OSPW;Carex;Mesocosm_6;Roots_Carex_OSPW;18-08-2021;52.3;13.1
Mesocosm.6.D28.Rhizo;Mesocosm.6.D28.Rhizo;D28;Rhizosphere;OSPW;Carex;Mesocosm_6;Rhizosphere_Carex_OSPW;18-08-2021;52.3;13.1
Mesocosm.6.D28.Sed;Mesocosm.6.D28.Sed;D28;Sediments;OSPW;Carex;Mesocosm_6;Sediments_Carex_OSPW;18-08-2021;52.3;13.1
Mesocosm.6.D42.Racine;Mesocosm.6.D42.Racine;D42;Roots;OSPW;Carex;Mesocosm_6;Roots_Carex_OSPW;01-09-2021;43.5;13.1
Mesocosm.6.D42.Rhizo;Mesocosm.6.D42.Rhizo;D42;Rhizosphere;OSPW;Carex;Mesocosm_6;Rhizosphere_Carex_OSPW;01-09-2021;43.5;13.1
Mesocosm.6.D42.Sed;Mesocosm.6.D42.Sed;D42;Sediments;OSPW;Carex;Mesocosm_6;Sediments_Carex_OSPW;01-09-2021;43.5;13.1
Mesocosm.6.D8.Racine;Mesocosm.6.D8.Racine;D8;Roots;OSPW;Carex;Mesocosm_6;Roots_Carex_OSPW;29-07-2021;68.3;13.1
Mesocosm.6.D8.Rhizo;Mesocosm.6.D8.Rhizo;D8;Rhizosphere;OSPW;Carex;Mesocosm_6;Rhizosphere_Carex_OSPW;29-07-2021;68.3;13.1
Mesocosm.6.D8.Sed;Mesocosm.6.D8.Sed;D8;Sediments;OSPW;Carex;Mesocosm_6;Sediments_Carex_OSPW;29-07-2021;68.3;13.1
Mesocosm.6.D84.Racine;Mesocosm.6.D84.Racine;D84;Roots;OSPW;Carex;Mesocosm_6;Roots_Carex_OSPW;13-10-2021;13.1;13.1
Mesocosm.6.D84.Rhizo;Mesocosm.6.D84.Rhizo;D84;Rhizosphere;OSPW;Carex;Mesocosm_6;Rhizosphere_Carex_OSPW;13-10-2021;13.1;13.1
Mesocosm.6.D84.Sed;Mesocosm.6.D84.Sed;D84;Sediments;OSPW;Carex;Mesocosm_6;Sediments_Carex_OSPW;13-10-2021;13.1;13.1
Mesocosm.7.D0.Racine;Mesocosm.7.D0.Racine;D-0;Roots;OSPW;Carex;Mesocosm_7;Roots_Carex_OSPW;14-07-2021;0.4;10.2
Mesocosm.7.D0.Rhizo;Mesocosm.7.D0.Rhizo;D-0;Rhizosphere;OSPW;Carex;Mesocosm_7;Rhizosphere_Carex_OSPW;14-07-2021;0.4;10.2
Mesocosm.7.D0.Sed;Mesocosm.7.D0.Sed;D-0;Sediments;OSPW;Carex;Mesocosm_7;Sediments_Carex_OSPW;14-07-2021;0.4;10.2
Mesocosm.7.D28.Racine;Mesocosm.7.D28.Racine;D28;Roots;OSPW;Carex;Mesocosm_7;Roots_Carex_OSPW;18-08-2021;44.3;10.2
Mesocosm.7.D28.Rhizo;Mesocosm.7.D28.Rhizo;D28;Rhizosphere;OSPW;Carex;Mesocosm_7;Rhizosphere_Carex_OSPW;18-08-2021;44.3;10.2
Mesocosm.7.D28.Sed;Mesocosm.7.D28.Sed;D28;Sediments;OSPW;Carex;Mesocosm_7;Sediments_Carex_OSPW;18-08-2021;44.3;10.2
Mesocosm.7.D42.Racine;Mesocosm.7.D42.Racine;D42;Roots;OSPW;Carex;Mesocosm_7;Roots_Carex_OSPW;01-09-2021;55.2;10.2
Mesocosm.7.D42.Rhizo;Mesocosm.7.D42.Rhizo;D42;Rhizosphere;OSPW;Carex;Mesocosm_7;Rhizosphere_Carex_OSPW;01-09-2021;55.2;10.2
Mesocosm.7.D42.Sed;Mesocosm.7.D42.Sed;D42;Sediments;OSPW;Carex;Mesocosm_7;Sediments_Carex_OSPW;01-09-2021;55.2;10.2
Mesocosm.7.D8.Racine;Mesocosm.7.D8.Racine;D8;Roots;OSPW;Carex;Mesocosm_7;Roots_Carex_OSPW;29-07-2021;112.6;10.2
Mesocosm.7.D8.Rhizo;Mesocosm.7.D8.Rhizo;D8;Rhizosphere;OSPW;Carex;Mesocosm_7;Rhizosphere_Carex_OSPW;29-07-2021;112.6;10.2
Mesocosm.7.D8.Sed;Mesocosm.7.D8.Sed;D8;Sediments;OSPW;Carex;Mesocosm_7;Sediments_Carex_OSPW;29-07-2021;112.6;10.2
Mesocosm.7.D84.Racine;Mesocosm.7.D84.Racine;D84;Roots;OSPW;Carex;Mesocosm_7;Roots_Carex_OSPW;13-10-2021;10.2;10.2
Mesocosm.7.D84.Rhizo;Mesocosm.7.D84.Rhizo;D84;Rhizosphere;OSPW;Carex;Mesocosm_7;Rhizosphere_Carex_OSPW;13-10-2021;10.2;10.2
Mesocosm.7.D84.Sed;Mesocosm.7.D84.Sed;D84;Sediments;OSPW;Carex;Mesocosm_7;Sediments_Carex_OSPW;13-10-2021;10.2;10.2
Mesocosm.8.D0.Sed;Mesocosm.8.D0.Sed;D-0;Sediments;Artificial_OSPW;No_plant;Mesocosm_8;Sediments_No_plant_Artificial_OSPW;14-07-2021;1.9;1.3
Mesocosm.8.D28.Sed;Mesocosm.8.D28.Sed;D28;Sediments;Artificial_OSPW;No_plant;Mesocosm_8;Sediments_No_plant_Artificial_OSPW;18-08-2021;0.4;1.3
Mesocosm.8.D42.Sed;Mesocosm.8.D42.Sed;D42;Sediments;Artificial_OSPW;No_plant;Mesocosm_8;Sediments_No_plant_Artificial_OSPW;01-09-2021;0.7;1.3
Mesocosm.8.D8.Sed;Mesocosm.8.D8.Sed;D8;Sediments;Artificial_OSPW;No_plant;Mesocosm_8;Sediments_No_plant_Artificial_OSPW;29-07-2021;0.2;1.3
Mesocosm.8.D84.Sed;Mesocosm.8.D84.Sed;D84;Sediments;Artificial_OSPW;No_plant;Mesocosm_8;Sediments_No_plant_Artificial_OSPW;13-10-2021;1.3;1.3
Mesocosm.9.D0.Sed;Mesocosm.9.D0.Sed;D-0;Sediments;OSPW;No_plant;Mesocosm_9;Sediments_No_plant_OSPW;14-07-2021;1;61.7
Mesocosm.9.D28.Sed;Mesocosm.9.D28.Sed;D28;Sediments;OSPW;No_plant;Mesocosm_9;Sediments_No_plant_OSPW;18-08-2021;91.5;61.7
Mesocosm.9.D42.Sed;Mesocosm.9.D42.Sed;D42;Sediments;OSPW;No_plant;Mesocosm_9;Sediments_No_plant_OSPW;01-09-2021;67.2;61.7
Mesocosm.9.D8.Sed;Mesocosm.9.D8.Sed;D8;Sediments;OSPW;No_plant;Mesocosm_9;Sediments_No_plant_OSPW;29-07-2021;92;61.7
Mesocosm.9.D84.Sed;Mesocosm.9.D84.Sed;D84;Sediments;OSPW;No_plant;Mesocosm_9;Sediments_No_plant_OSPW;13-10-2021;61.7;61.7
