;alias;Compartment;Mesocosm;Sample_type;Water_type;Time;Sampling_date;Seq_data;Group;Sample_name;NA_concentration;Final_NA_conc
Mesocosm_1_D-0;M1-13.07.21;Water;Mesocosm_1;No_plant;OSPW;D-0;13-07-2021;20-03-2023;No_plant_OSPW;Mesocosm_1_D-0;1.1;51.6
Mesocosm_1_D28;Mesocosm-1-Aug-18-2021;Water;Mesocosm_1;No_plant;OSPW;D28;18-08-2021;16-12-2022;No_plant_OSPW;Mesocosm_1_D28;45.3;51.6
Mesocosm_1_D42;Mesocosm-1-Sep-1-2021;Water;Mesocosm_1;No_plant;OSPW;D42;01-09-2021;16-12-2022;No_plant_OSPW;Mesocosm_1_D42;64.9;51.6
Mesocosm_1_D8;M1-30.07.21;Water;Mesocosm_1;No_plant;OSPW;D8;30-07-2021;20-03-2023;No_plant_OSPW;Mesocosm_1_D8;NA;51.6
Mesocosm_1_D84;M1-13.10.21;Water;Mesocosm_1;No_plant;OSPW;D84;13-10-2021;20-03-2023;No_plant_OSPW;Mesocosm_1_D84;51.6;51.6
Mesocosm_10_D28;Mesocosm-10-Aug-18-2021;Water;Mesocosm_10;No_plant;OSPW;D28;18-08-2021;16-12-2022;No_plant_OSPW;Mesocosm_10_D28;70.4;65.4
Mesocosm_10_D42;Mesocosm-10-Sep-1-2021;Water;Mesocosm_10;No_plant;OSPW;D42;01-09-2021;16-12-2022;No_plant_OSPW;Mesocosm_10_D42;62.1;65.4
Mesocosm_10_D8;M10-30.07.21;Water;Mesocosm_10;No_plant;OSPW;D8;30-07-2021;20-03-2023;No_plant_OSPW;Mesocosm_10_D8;87.8;65.4
Mesocosm_10_D84;M10-13.10.21;Water;Mesocosm_10;No_plant;OSPW;D84;13-10-2021;20-03-2023;No_plant_OSPW;Mesocosm_10_D84;65.4;65.4
Mesocosm_11_D-0;M11-13.07.21;Water;Mesocosm_11;No_plant;Artificial_OSPW;D-0;13-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_11_D-0;1.1;0.8
Mesocosm_11_D28;Mesocosm-11-Aug-18-2021;Water;Mesocosm_11;No_plant;Artificial_OSPW;D28;18-08-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_11_D28;0.4;0.8
Mesocosm_11_D42;Mesocosm-11-Sep-1-2021;Water;Mesocosm_11;No_plant;Artificial_OSPW;D42;01-09-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_11_D42;0.8;0.8
Mesocosm_11_D8;M11-30.07.21;Water;Mesocosm_11;No_plant;Artificial_OSPW;D8;30-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_11_D8;0.8;0.8
Mesocosm_11_D84;M11-13.10.21;Water;Mesocosm_11;No_plant;Artificial_OSPW;D84;13-10-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_11_D84;0.8;0.8
Mesocosm_12_D-0;M12-13.07.21;Water;Mesocosm_12;Carex;OSPW;D-0;13-07-2021;20-03-2023;Carex_OSPW;Mesocosm_12_D-0;0.7;23.4
Mesocosm_12_D28;Mesocosm-12-Aug-18-2021;Water;Mesocosm_12;Carex;OSPW;D28;18-08-2021;16-12-2022;Carex_OSPW;Mesocosm_12_D28;78.5;23.4
Mesocosm_12_D42;Mesocosm-12-Sep-1-2021;Water;Mesocosm_12;Carex;OSPW;D42;01-09-2021;16-12-2022;Carex_OSPW;Mesocosm_12_D42;44.1;23.4
Mesocosm_12_D84;M12-13.10.21;Water;Mesocosm_12;Carex;OSPW;D84;13-10-2021;20-03-2023;Carex_OSPW;Mesocosm_12_D84;23.4;23.4
Mesocosm_2_D-0;M2-13.07.21;Water;Mesocosm_2;Carex;OSPW;D-0;13-07-2021;20-03-2023;Carex_OSPW;Mesocosm_2_D-0;0.7;21.6
Mesocosm_2_D28;Mesocosm-2-Aug-18-2021;Water;Mesocosm_2;Carex;OSPW;D28;18-08-2021;16-12-2022;Carex_OSPW;Mesocosm_2_D28;59.8;21.6
Mesocosm_2_D42;Mesocosm-2-Sep-1-2021;Water;Mesocosm_2;Carex;OSPW;D42;01-09-2021;16-12-2022;Carex_OSPW;Mesocosm_2_D42;40.6;21.6
Mesocosm_2_D8;M2-30.07.21;Water;Mesocosm_2;Carex;OSPW;D8;30-07-2021;20-03-2023;Carex_OSPW;Mesocosm_2_D8;74.8;21.6
Mesocosm_2_D84;M2-13.10.21;Water;Mesocosm_2;Carex;OSPW;D84;13-10-2021;20-03-2023;Carex_OSPW;Mesocosm_2_D84;21.6;21.6
Mesocosm_3_D-0;M3-13.07.21;Water;Mesocosm_3;No_plant;OSPW;D-0;13-07-2021;20-03-2023;No_plant_OSPW;Mesocosm_3_D-0;1.1;57.4
Mesocosm_3_D28;Mesocosm-3-Aug-18-2021;Water;Mesocosm_3;No_plant;OSPW;D28;18-08-2021;16-12-2022;No_plant_OSPW;Mesocosm_3_D28;122.8;57.4
Mesocosm_3_D42;Mesocosm-3-Sep-1-2021;Water;Mesocosm_3;No_plant;OSPW;D42;01-09-2021;16-12-2022;No_plant_OSPW;Mesocosm_3_D42;83.9;57.4
Mesocosm_3_D8;M3-30.07.21;Water;Mesocosm_3;No_plant;OSPW;D8;30-07-2021;20-03-2023;No_plant_OSPW;Mesocosm_3_D8;75.1;57.4
Mesocosm_3_D84;M3-13.10.21;Water;Mesocosm_3;No_plant;OSPW;D84;13-10-2021;20-03-2023;No_plant_OSPW;Mesocosm_3_D84;57.4;57.4
Mesocosm_4_D-0;M4-13.07.21;Water;Mesocosm_4;No_plant;Artificial_OSPW;D-0;13-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_4_D-0;1.4;0.3
Mesocosm_4_D28;Mesocosm-4-Aug-18-2021;Water;Mesocosm_4;No_plant;Artificial_OSPW;D28;18-08-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_4_D28;0.3;0.3
Mesocosm_4_D42;Mesocosm-4-Sep-1-2021;Water;Mesocosm_4;No_plant;Artificial_OSPW;D42;01-09-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_4_D42;0.2;0.3
Mesocosm_4_D8;M4-30.07.21;Water;Mesocosm_4;No_plant;Artificial_OSPW;D8;30-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_4_D8;0.2;0.3
Mesocosm_4_D84;M4-13.10.21;Water;Mesocosm_4;No_plant;Artificial_OSPW;D84;13-10-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_4_D84;0.3;0.3
Mesocosm_5_D-0;M5-13.07.21;Water;Mesocosm_5;No_plant;Artificial_OSPW;D-0;13-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_5_D-0;0.9;0.1
Mesocosm_5_D28;Mesocosm-5-Aug-18-2021;Water;Mesocosm_5;No_plant;Artificial_OSPW;D28;18-08-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_5_D28;0.4;0.1
Mesocosm_5_D42;Mesocosm-5-Sep-1-2021;Water;Mesocosm_5;No_plant;Artificial_OSPW;D42;01-09-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_5_D42;0.5;0.1
Mesocosm_5_D8;M5-30.07.21;Water;Mesocosm_5;No_plant;Artificial_OSPW;D8;30-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_5_D8;0.5;0.1
Mesocosm_5_D84;M5-13.10.21;Water;Mesocosm_5;No_plant;Artificial_OSPW;D84;13-10-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_5_D84;0.1;0.1
Mesocosm_6_D-0;M6-13.07.21;Water;Mesocosm_6;Carex;OSPW;D-0;13-07-2021;20-03-2023;Carex_OSPW;Mesocosm_6_D-0;1;13.1
Mesocosm_6_D28;Mesocosm-6-Aug-18-2021;Water;Mesocosm_6;Carex;OSPW;D28;18-08-2021;16-12-2022;Carex_OSPW;Mesocosm_6_D28;52.3;13.1
Mesocosm_6_D42;Mesocosm-6-Sep-1-2021;Water;Mesocosm_6;Carex;OSPW;D42;01-09-2021;16-12-2022;Carex_OSPW;Mesocosm_6_D42;43.5;13.1
Mesocosm_6_D8;M6-30.07.21;Water;Mesocosm_6;Carex;OSPW;D8;30-07-2021;20-03-2023;Carex_OSPW;Mesocosm_6_D8;68.3;13.1
Mesocosm_6_D84;M6-13.10.21;Water;Mesocosm_6;Carex;OSPW;D84;13-10-2021;20-03-2023;Carex_OSPW;Mesocosm_6_D84;13.1;13.1
Mesocosm_7_D-0;M7-13.07.21;Water;Mesocosm_7;Carex;OSPW;D-0;13-07-2021;20-03-2023;Carex_OSPW;Mesocosm_7_D-0;0.4;10.2
Mesocosm_7_D28;Mesocosm-7-Aug-18-2021;Water;Mesocosm_7;Carex;OSPW;D28;18-08-2021;16-12-2022;Carex_OSPW;Mesocosm_7_D28;44.3;10.2
Mesocosm_7_D42;Mesocosm-7-Sep-1-2021;Water;Mesocosm_7;Carex;OSPW;D42;01-09-2021;16-12-2022;Carex_OSPW;Mesocosm_7_D42;55.2;10.2
Mesocosm_7_D8;M7-30.07.21;Water;Mesocosm_7;Carex;OSPW;D8;30-07-2021;20-03-2023;Carex_OSPW;Mesocosm_7_D8;112.6;10.2
Mesocosm_7_D84;M7-13.10.21;Water;Mesocosm_7;Carex;OSPW;D84;13-10-2021;20-03-2023;Carex_OSPW;Mesocosm_7_D84;10.2;10.2
Mesocosm_8_D-0;M8-13.07.21;Water;Mesocosm_8;No_plant;Artificial_OSPW;D-0;13-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_8_D-0;1.9;1.3
Mesocosm_8_D28;Mesocosm-8-Aug-18-2021;Water;Mesocosm_8;No_plant;Artificial_OSPW;D28;18-08-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_8_D28;0.4;1.3
Mesocosm_8_D42;Mesocosm-8-Sep-1-2021;Water;Mesocosm_8;No_plant;Artificial_OSPW;D42;01-09-2021;16-12-2022;No_plant_Artificial_OSPW;Mesocosm_8_D42;0.7;1.3
Mesocosm_8_D8;M9-30.07.21;Water;Mesocosm_8;No_plant;Artificial_OSPW;D8;30-07-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_8_D8;0.2;1.3
Mesocosm_8_D84;M8-13.10.21;Water;Mesocosm_8;No_plant;Artificial_OSPW;D84;13-10-2021;20-03-2023;No_plant_Artificial_OSPW;Mesocosm_8_D84;1.3;1.3
Mesocosm_9_D-0;M9-13.07.21;Water;Mesocosm_9;No_plant;OSPW;D-0;13-07-2021;20-03-2023;No_plant_OSPW;Mesocosm_9_D-0;1;61.7
Mesocosm_9_D28;Mesocosm-9-Aug-18-2021;Water;Mesocosm_9;No_plant;OSPW;D28;18-08-2021;16-12-2022;No_plant_OSPW;Mesocosm_9_D28;91.5;61.7
Mesocosm_9_D42;Mesocosm-9-Sep-1-2021;Water;Mesocosm_9;No_plant;OSPW;D42;01-09-2021;16-12-2022;No_plant_OSPW;Mesocosm_9_D42;67.2;61.7
Mesocosm_9_D8;M8-30.07.21;Water;Mesocosm_9;No_plant;OSPW;D8;30-07-2021;20-03-2023;No_plant_OSPW;Mesocosm_9_D8;92;61.7
Mesocosm_9_D84;M9-13.10.21;Water;Mesocosm_9;No_plant;OSPW;D84;13-10-2021;20-03-2023;No_plant_OSPW;Mesocosm_9_D84;61.7;61.7
